rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/entropy_loss,train/policy_gradient_loss
25.658227848101266,2626,2048,0,25.658227848101266,1,,,,,,,,,,
29.94,2191,4096,1,29.94,2,0.007937554,9.418014526367188,0.0003,0.0962890625,10,-0.002147078514099121,0.2,62.65411128401756,-0.6861534619703888,-0.015893689582298975
38.08,2081,6144,2,38.08,3,0.00835187,16.50503158569336,0.0003,0.047216796875,20,0.02873629331588745,0.2,42.20070811510086,-0.6695749824866652,-0.01376315061643254
48.07,1974,8192,4,48.07,4,0.009411298,19.9884090423584,0.0003,0.09619140625,30,0.24043327569961548,0.2,55.95240314006806,-0.6365076126530766,-0.020103348986594938
64.03,1836,10240,5,64.03,5,0.008578448,22.366622924804688,0.0003,0.063916015625,40,0.27466094493865967,0.2,60.64844489693642,-0.6134070323780179,-0.013915106924832799
79.84,1783,12288,6,79.84,6,0.0073352465,19.769630432128906,0.0003,0.05595703125,50,0.47958219051361084,0.2,61.525688987970355,-0.5978608950972557,-0.01159398648305796
96.76,1724,14336,8,96.76,7,0.0057681934,30.229148864746094,0.0003,0.0349609375,60,0.4725443124771118,0.2,65.74753414392471,-0.5725847134366632,-0.008012675130157732
114.03,1677,16384,9,114.03,8,0.010867927,10.666980743408203,0.0003,0.13076171875,70,0.805853009223938,0.2,33.75315031856299,-0.5705777905881405,-0.010717036640562583
127.63,1644,18432,11,127.63,9,0.0044967346,2.974968910217285,0.0003,0.017333984375,80,0.9115698337554932,0.2,20.198408918827774,-0.5727981563657523,-0.0018588735052617266
146.91,1604,20480,12,146.91,10,0.008902182,3.686342477798462,0.0003,0.0888671875,90,0.8860416412353516,0.2,24.335979380458593,-0.5543361682444811,-0.01037068173609441
165.7,1579,22528,14,165.7,11,0.0065739513,0.8026820421218872,0.0003,0.087451171875,100,0.9695816040039062,0.2,9.43191253580153,-0.5658008327707649,-0.01065857887151651
181.31,1556,24576,15,181.31,12,0.008681882,26.026031494140625,0.0003,0.08369140625,110,0.8280407190322876,0.2,32.96640570759773,-0.5524293376132846,-0.012667649569630157
199.53,1532,26624,17,199.53,13,0.0028095592,0.8848816156387329,0.0003,0.038330078125,120,0.7732590436935425,0.2,9.376796178799122,-0.5766455264762044,-0.005111291966750286
216.52,1512,28672,18,216.52,14,0.002698978,15.781405448913574,0.0003,0.018701171875,130,0.035577237606048584,0.2,74.02701847106218,-0.5452237150631845,-0.004397845307539683
231.98,1489,30720,20,231.98,15,0.0057994276,0.17094558477401733,0.0003,0.0521484375,140,0.6282737255096436,0.2,2.282601764658466,-0.5406863711774349,-0.0013284115273563657
248.68,1469,32768,22,248.68,16,0.0036339522,0.03482605516910553,0.0003,0.03056640625,150,0.14832806587219238,0.2,1.1610425299673808,-0.5089772761799395,-0.0001661122492805589
266.22,1447,34816,24,266.22,17,0.007401823,0.05377957969903946,0.0003,0.06923828125,160,0.8780977129936218,0.2,0.7587524826230947,-0.5216755622066558,-0.006795312130998354
282.66,1426,36864,25,282.66,18,0.007898183,0.014986542984843254,0.0003,0.055859375,170,-0.13205933570861816,0.2,0.4743965795947588,-0.4924999989569187,-0.002392873053031508
302.86,1403,38912,27,302.86,19,0.0021501384,0.021158818155527115,0.0003,0.020703125,180,0.02477210760116577,0.2,0.29924587987334234,-0.48106697397306564,-0.0017318159771093633
316.53,1385,40960,29,316.53,20,0.003890747,0.0307045616209507,0.0003,0.037841796875,190,0.015795230865478516,0.2,0.18974406132037985,-0.5084725833497942,-0.0027574378123972564
332.03,1364,43008,31,332.03,21,0.0036192136,0.02646818198263645,0.0003,0.0294921875,200,0.021730780601501465,0.2,0.12124756130797323,-0.4792630317620933,-0.0019535764353349806
348.21,1341,45056,33,348.21,22,0.0014690647,0.013324383646249771,0.0003,0.006884765625,210,-0.005491852760314941,0.2,0.07323255150658951,-0.4909310571849346,0.00012918910506414248
362.78,1322,47104,35,362.78,23,0.0025166064,0.020288733765482903,0.0003,0.01875,220,-0.003206610679626465,0.2,0.04669999089892372,-0.4574259836226702,-0.0014776760159293189
376.34,1305,49152,37,376.34,24,0.0049098795,-0.0064519792795181274,0.0003,0.027392578125,230,-0.01768481731414795,0.2,0.030776348597100878,-0.4495758170261979,-0.0005541632024687714
389.24,1288,51200,39,389.24,25,0.0061585275,-0.023520244285464287,0.0003,0.05498046875,240,0.02282494306564331,0.2,0.018912824257131432,-0.46148669430986045,-0.0024892325600376353
402.71,1271,53248,41,402.71,26,0.0017507767,-0.0013341461308300495,0.0003,0.005224609375,250,-0.012634873390197754,0.2,0.012585501473586192,-0.45107212029397487,0.00023841381480451673
409.93,1254,55296,44,409.93,27,0.002760853,-0.020998958498239517,0.0003,0.01708984375,260,0.05382740497589111,0.2,0.007950794965563546,-0.4471551333554089,-0.0019914778851671143
420.8,1237,57344,46,420.8,28,0.0030335814,-0.004077482037246227,0.0003,0.027001953125,270,-0.026285767555236816,0.2,0.005355057942233543,-0.4441605635918677,-0.0009171208170300815
434.64,1220,59392,48,434.64,29,0.0018424195,0.009822188876569271,0.0003,0.01123046875,280,0.03001868724822998,0.2,0.003512056756471793,-0.4276028127409518,-0.00025492825225228446
447.05,1204,61440,51,447.05,30,0.0036742676,0.031867772340774536,0.0003,0.029541015625,290,-0.0006660223007202148,0.2,0.0025118856376593612,-0.4370282982476056,-0.0019252035810495727
460.47,1187,63488,53,460.47,31,0.0023942913,-0.0005246626096777618,0.0003,0.029931640625,300,-0.07334339618682861,0.2,0.0016119317191055416,-0.46192426020279526,-0.0009922632496454753
472.3,1172,65536,55,472.3,32,0.003319404,0.0025232487823814154,0.0003,0.0501953125,310,0.05760014057159424,0.2,0.001152523893574653,-0.4614735499024391,-0.0057143107529554985
479.38,1156,67584,58,479.38,33,0.0033099127,-0.015996525064110756,0.0003,0.057568359375,320,-0.02961266040802002,0.2,0.0007961062399658658,-0.45797943165525795,-0.0025533973035635426
487.44,1140,69632,61,487.44,34,0.005047568,-0.0008202461176551878,0.0003,0.022021484375,330,-0.06582129001617432,0.2,0.0005394980920982561,-0.4568369715474546,-0.00026230914372717964
493.65,1125,71680,63,493.65,35,0.0023678318,-0.0025519556365907192,0.0003,0.024169921875,340,0.012458205223083496,0.2,0.00039817970657054504,-0.42428353866562246,-0.0018998185085365548
495.11,1109,73728,66,495.11,36,0.00559142,-0.010940944775938988,0.0003,0.0705078125,350,0.03612256050109863,0.2,0.0002702644773023621,-0.42917966227978466,-0.0035852832457749172
