time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/loss
0,25.658227848101266,1,2855,2048,25.658227848101266,,,,,,,,,,
1,29.94,2,2255,4096,29.94,62.65411128401756,10,-0.6861534619703888,-0.002147078514099121,-0.015893689582298975,0.0962890625,0.2,0.0003,0.007937554,9.418014526367188
2,38.08,3,2129,6144,38.08,42.20070811510086,20,-0.6695749824866652,0.02873629331588745,-0.01376315061643254,0.047216796875,0.2,0.0003,0.00835187,16.50503158569336
4,48.07,4,2008,8192,48.07,55.95240314006806,30,-0.6365076126530766,0.24043327569961548,-0.020103348986594938,0.09619140625,0.2,0.0003,0.009411298,19.9884090423584
5,64.03,5,1925,10240,64.03,60.64844489693642,40,-0.6134070323780179,0.27466094493865967,-0.013915106924832799,0.063916015625,0.2,0.0003,0.008578448,22.366622924804688
6,79.84,6,1819,12288,79.84,61.525688987970355,50,-0.5978608950972557,0.47958219051361084,-0.01159398648305796,0.05595703125,0.2,0.0003,0.0073352465,19.769630432128906
8,96.76,7,1724,14336,96.76,65.74753414392471,60,-0.5725847134366632,0.4725443124771118,-0.008012675130157732,0.0349609375,0.2,0.0003,0.0057681934,30.229148864746094
9,114.03,8,1687,16384,114.03,33.75315031856299,70,-0.5705777905881405,0.805853009223938,-0.010717036640562583,0.13076171875,0.2,0.0003,0.010867927,10.666980743408203
11,127.63,9,1661,18432,127.63,20.198408918827774,80,-0.5727981563657523,0.9115698337554932,-0.0018588735052617266,0.017333984375,0.2,0.0003,0.0044967346,2.974968910217285
12,146.91,10,1633,20480,146.91,24.335979380458593,90,-0.5543361682444811,0.8860416412353516,-0.01037068173609441,0.0888671875,0.2,0.0003,0.008902182,3.686342477798462
14,165.7,11,1607,22528,165.7,9.43191253580153,100,-0.5658008327707649,0.9695816040039062,-0.01065857887151651,0.087451171875,0.2,0.0003,0.0065739513,0.8026820421218872
15,181.31,12,1584,24576,181.31,32.96640570759773,110,-0.5524293376132846,0.8280407190322876,-0.012667649569630157,0.08369140625,0.2,0.0003,0.008681882,26.026031494140625
17,199.53,13,1561,26624,199.53,9.376796178799122,120,-0.5766455264762044,0.7732590436935425,-0.005111291966750286,0.038330078125,0.2,0.0003,0.0028095592,0.8848816156387329
18,216.52,14,1538,28672,216.52,74.02701847106218,130,-0.5452237150631845,0.035577237606048584,-0.004397845307539683,0.018701171875,0.2,0.0003,0.002698978,15.781405448913574
20,231.98,15,1515,30720,231.98,2.282601764658466,140,-0.5406863711774349,0.6282737255096436,-0.0013284115273563657,0.0521484375,0.2,0.0003,0.0057994276,0.17094558477401733
21,248.68,16,1490,32768,248.68,1.1610425299673808,150,-0.5089772761799395,0.14832806587219238,-0.0001661122492805589,0.03056640625,0.2,0.0003,0.0036339522,0.03482605516910553
23,266.22,17,1466,34816,266.22,0.7587524826230947,160,-0.5216755622066558,0.8780977129936218,-0.006795312130998354,0.06923828125,0.2,0.0003,0.007401823,0.05377957969903946
25,282.66,18,1445,36864,282.66,0.4743965795947588,170,-0.4924999989569187,-0.13205933570861816,-0.002392873053031508,0.055859375,0.2,0.0003,0.007898183,0.014986542984843254
27,302.86,19,1423,38912,302.86,0.29924587987334234,180,-0.48106697397306564,0.02477210760116577,-0.0017318159771093633,0.020703125,0.2,0.0003,0.0021501384,0.021158818155527115
29,316.53,20,1403,40960,316.53,0.18974406132037985,190,-0.5084725833497942,0.015795230865478516,-0.0027574378123972564,0.037841796875,0.2,0.0003,0.003890747,0.0307045616209507
31,332.03,21,1382,43008,332.03,0.12124756130797323,200,-0.4792630317620933,0.021730780601501465,-0.0019535764353349806,0.0294921875,0.2,0.0003,0.0036192136,0.02646818198263645
33,348.21,22,1363,45056,348.21,0.07323255150658951,210,-0.4909310571849346,-0.005491852760314941,0.00012918910506414248,0.006884765625,0.2,0.0003,0.0014690647,0.013324383646249771
35,362.78,23,1343,47104,362.78,0.04669999089892372,220,-0.4574259836226702,-0.003206610679626465,-0.0014776760159293189,0.01875,0.2,0.0003,0.0025166064,0.020288733765482903
37,376.34,24,1324,49152,376.34,0.030776348597100878,230,-0.4495758170261979,-0.01768481731414795,-0.0005541632024687714,0.027392578125,0.2,0.0003,0.0049098795,-0.0064519792795181274
39,389.24,25,1305,51200,389.24,0.018912824257131432,240,-0.46148669430986045,0.02282494306564331,-0.0024892325600376353,0.05498046875,0.2,0.0003,0.0061585275,-0.023520244285464287
41,402.71,26,1287,53248,402.71,0.012585501473586192,250,-0.45107212029397487,-0.012634873390197754,0.00023841381480451673,0.005224609375,0.2,0.0003,0.0017507767,-0.0013341461308300495
43,409.93,27,1268,55296,409.93,0.007950794965563546,260,-0.4471551333554089,0.05382740497589111,-0.0019914778851671143,0.01708984375,0.2,0.0003,0.002760853,-0.020998958498239517
45,420.8,28,1250,57344,420.8,0.005355057942233543,270,-0.4441605635918677,-0.026285767555236816,-0.0009171208170300815,0.027001953125,0.2,0.0003,0.0030335814,-0.004077482037246227
48,434.64,29,1231,59392,434.64,0.003512056756471793,280,-0.4276028127409518,0.03001868724822998,-0.00025492825225228446,0.01123046875,0.2,0.0003,0.0018424195,0.009822188876569271
50,447.05,30,1215,61440,447.05,0.0025118856376593612,290,-0.4370282982476056,-0.0006660223007202148,-0.0019252035810495727,0.029541015625,0.2,0.0003,0.0036742676,0.031867772340774536
52,460.47,31,1198,63488,460.47,0.0016119317191055416,300,-0.46192426020279526,-0.07334339618682861,-0.0009922632496454753,0.029931640625,0.2,0.0003,0.0023942913,-0.0005246626096777618
55,472.3,32,1181,65536,472.3,0.001152523893574653,310,-0.4614735499024391,0.05760014057159424,-0.0057143107529554985,0.0501953125,0.2,0.0003,0.003319404,0.0025232487823814154
