time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/value_loss
2048,0,2873,1,25.658227848101266,25.658227848101266,,,,,,,,,,
4096,1,2279,2,29.94,29.94,0.007937554,-0.6861534619703888,9.418014526367188,0.2,0.0962890625,10,0.0003,-0.015893689582298975,-0.002147078514099121,62.65411128401756
6144,2,2147,3,38.08,38.08,0.00835187,-0.6695749824866652,16.50503158569336,0.2,0.047216796875,20,0.0003,-0.01376315061643254,0.02873629331588745,42.20070811510086
8192,4,2014,4,48.07,48.07,0.009411298,-0.6365076126530766,19.9884090423584,0.2,0.09619140625,30,0.0003,-0.020103348986594938,0.24043327569961548,55.95240314006806
10240,5,1921,5,64.03,64.03,0.008578448,-0.6134070323780179,22.366622924804688,0.2,0.063916015625,40,0.0003,-0.013915106924832799,0.27466094493865967,60.64844489693642
12288,6,1856,6,79.84,79.84,0.0073352465,-0.5978608950972557,19.769630432128906,0.2,0.05595703125,50,0.0003,-0.01159398648305796,0.47958219051361084,61.525688987970355
14336,7,1802,7,96.76,96.76,0.0057681934,-0.5725847134366632,30.229148864746094,0.2,0.0349609375,60,0.0003,-0.008012675130157732,0.4725443124771118,65.74753414392471
16384,9,1760,8,114.03,114.03,0.010867927,-0.5705777905881405,10.666980743408203,0.2,0.13076171875,70,0.0003,-0.010717036640562583,0.805853009223938,33.75315031856299
18432,10,1723,9,127.63,127.63,0.0044967346,-0.5727981563657523,2.974968910217285,0.2,0.017333984375,80,0.0003,-0.0018588735052617266,0.9115698337554932,20.198408918827774
20480,12,1688,10,146.91,146.91,0.008902182,-0.5543361682444811,3.686342477798462,0.2,0.0888671875,90,0.0003,-0.01037068173609441,0.8860416412353516,24.335979380458593
22528,13,1655,11,165.7,165.7,0.0065739513,-0.5658008327707649,0.8026820421218872,0.2,0.087451171875,100,0.0003,-0.01065857887151651,0.9695816040039062,9.43191253580153
24576,15,1624,12,181.31,181.31,0.008681882,-0.5524293376132846,26.026031494140625,0.2,0.08369140625,110,0.0003,-0.012667649569630157,0.8280407190322876,32.96640570759773
