rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range
25.658227848101266,2683,2048,0,1,25.658227848101266,,,,,,,,,,
29.94,2154,4096,1,2,29.94,-0.015893689582298975,-0.6861534619703888,10,-0.002147078514099121,9.418014526367188,62.65411128401756,0.0003,0.007937554,0.0962890625,0.2
38.08,2014,6144,3,3,38.08,-0.01376315061643254,-0.6695749824866652,20,0.02873629331588745,16.50503158569336,42.20070811510086,0.0003,0.00835187,0.047216796875,0.2
48.07,1902,8192,4,4,48.07,-0.020103348986594938,-0.6365076126530766,30,0.24043327569961548,19.9884090423584,55.95240314006806,0.0003,0.009411298,0.09619140625,0.2
64.03,1813,10240,5,5,64.03,-0.013915106924832799,-0.6134070323780179,40,0.27466094493865967,22.366622924804688,60.64844489693642,0.0003,0.008578448,0.063916015625,0.2
79.84,1754,12288,7,6,79.84,-0.01159398648305796,-0.5978608950972557,50,0.47958219051361084,19.769630432128906,61.525688987970355,0.0003,0.0073352465,0.05595703125,0.2
96.76,1706,14336,8,7,96.76,-0.008012675130157732,-0.5725847134366632,60,0.4725443124771118,30.229148864746094,65.74753414392471,0.0003,0.0057681934,0.0349609375,0.2
114.03,1661,16384,9,8,114.03,-0.010717036640562583,-0.5705777905881405,70,0.805853009223938,10.666980743408203,33.75315031856299,0.0003,0.010867927,0.13076171875,0.2
127.63,1620,18432,11,9,127.63,-0.0018588735052617266,-0.5727981563657523,80,0.9115698337554932,2.974968910217285,20.198408918827774,0.0003,0.0044967346,0.017333984375,0.2
146.91,1583,20480,12,10,146.91,-0.01037068173609441,-0.5543361682444811,90,0.8860416412353516,3.686342477798462,24.335979380458593,0.0003,0.008902182,0.0888671875,0.2
165.7,1553,22528,14,11,165.7,-0.01065857887151651,-0.5658008327707649,100,0.9695816040039062,0.8026820421218872,9.43191253580153,0.0003,0.0065739513,0.087451171875,0.2
181.31,1525,24576,16,12,181.31,-0.012667649569630157,-0.5524293376132846,110,0.8280407190322876,26.026031494140625,32.96640570759773,0.0003,0.008681882,0.08369140625,0.2
