time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/policy_gradient_loss
2702,2048,25.658227848101266,25.658227848101266,1,0,,,,,,,,,,
2155,4096,29.94,29.94,2,1,0.2,0.007937554,62.65411128401756,-0.6861534619703888,0.0003,9.418014526367188,0.0962890625,-0.002147078514099121,10,-0.015893689582298975
2038,6144,38.08,38.08,3,3,0.2,0.00835187,42.20070811510086,-0.6695749824866652,0.0003,16.50503158569336,0.047216796875,0.02873629331588745,20,-0.01376315061643254
1928,8192,48.07,48.07,4,4,0.2,0.009411298,55.95240314006806,-0.6365076126530766,0.0003,19.9884090423584,0.09619140625,0.24043327569961548,30,-0.020103348986594938
1855,10240,64.03,64.03,5,5,0.2,0.008578448,60.64844489693642,-0.6134070323780179,0.0003,22.366622924804688,0.063916015625,0.27466094493865967,40,-0.013915106924832799
1736,12288,79.84,79.84,6,7,0.2,0.0073352465,61.525688987970355,-0.5978608950972557,0.0003,19.769630432128906,0.05595703125,0.47958219051361084,50,-0.01159398648305796
1697,14336,96.76,96.76,7,8,0.2,0.0057681934,65.74753414392471,-0.5725847134366632,0.0003,30.229148864746094,0.0349609375,0.4725443124771118,60,-0.008012675130157732
1665,16384,114.03,114.03,8,9,0.2,0.010867927,33.75315031856299,-0.5705777905881405,0.0003,10.666980743408203,0.13076171875,0.805853009223938,70,-0.010717036640562583
1634,18432,127.63,127.63,9,11,0.2,0.0044967346,20.198408918827774,-0.5727981563657523,0.0003,2.974968910217285,0.017333984375,0.9115698337554932,80,-0.0018588735052617266
1604,20480,146.91,146.91,10,12,0.2,0.008902182,24.335979380458593,-0.5543361682444811,0.0003,3.686342477798462,0.0888671875,0.8860416412353516,90,-0.01037068173609441
1576,22528,165.7,165.7,11,14,0.2,0.0065739513,9.43191253580153,-0.5658008327707649,0.0003,0.8026820421218872,0.087451171875,0.9695816040039062,100,-0.01065857887151651
1550,24576,181.31,181.31,12,15,0.2,0.008681882,32.96640570759773,-0.5524293376132846,0.0003,26.026031494140625,0.08369140625,0.8280407190322876,110,-0.012667649569630157
1525,26624,199.53,199.53,13,17,0.2,0.0028095592,9.376796178799122,-0.5766455264762044,0.0003,0.8848816156387329,0.038330078125,0.7732590436935425,120,-0.005111291966750286
1501,28672,216.52,216.52,14,19,0.2,0.002698978,74.02701847106218,-0.5452237150631845,0.0003,15.781405448913574,0.018701171875,0.035577237606048584,130,-0.004397845307539683
1475,30720,231.98,231.98,15,20,0.2,0.0057994276,2.282601764658466,-0.5406863711774349,0.0003,0.17094558477401733,0.0521484375,0.6282737255096436,140,-0.0013284115273563657
1453,32768,248.68,248.68,16,22,0.2,0.0036339522,1.1610425299673808,-0.5089772761799395,0.0003,0.03482605516910553,0.03056640625,0.14832806587219238,150,-0.0001661122492805589
1431,34816,266.22,266.22,17,24,0.2,0.007401823,0.7587524826230947,-0.5216755622066558,0.0003,0.05377957969903946,0.06923828125,0.8780977129936218,160,-0.006795312130998354
1410,36864,282.66,282.66,18,26,0.2,0.007898183,0.4743965795947588,-0.4924999989569187,0.0003,0.014986542984843254,0.055859375,-0.13205933570861816,170,-0.002392873053031508
1389,38912,302.86,302.86,19,28,0.2,0.0021501384,0.29924587987334234,-0.48106697397306564,0.0003,0.021158818155527115,0.020703125,0.02477210760116577,180,-0.0017318159771093633
1369,40960,316.53,316.53,20,29,0.2,0.003890747,0.18974406132037985,-0.5084725833497942,0.0003,0.0307045616209507,0.037841796875,0.015795230865478516,190,-0.0027574378123972564
1350,43008,332.03,332.03,21,31,0.2,0.0036192136,0.12124756130797323,-0.4792630317620933,0.0003,0.02646818198263645,0.0294921875,0.021730780601501465,200,-0.0019535764353349806
1331,45056,348.21,348.21,22,33,0.2,0.0014690647,0.07323255150658951,-0.4909310571849346,0.0003,0.013324383646249771,0.006884765625,-0.005491852760314941,210,0.00012918910506414248
1311,47104,362.78,362.78,23,35,0.2,0.0025166064,0.04669999089892372,-0.4574259836226702,0.0003,0.020288733765482903,0.01875,-0.003206610679626465,220,-0.0014776760159293189
1293,49152,376.34,376.34,24,37,0.2,0.0049098795,0.030776348597100878,-0.4495758170261979,0.0003,-0.0064519792795181274,0.027392578125,-0.01768481731414795,230,-0.0005541632024687714
1275,51200,389.24,389.24,25,40,0.2,0.0061585275,0.018912824257131432,-0.46148669430986045,0.0003,-0.023520244285464287,0.05498046875,0.02282494306564331,240,-0.0024892325600376353
1256,53248,402.71,402.71,26,42,0.2,0.0017507767,0.012585501473586192,-0.45107212029397487,0.0003,-0.0013341461308300495,0.005224609375,-0.012634873390197754,250,0.00023841381480451673
1238,55296,409.93,409.93,27,44,0.2,0.002760853,0.007950794965563546,-0.4471551333554089,0.0003,-0.020998958498239517,0.01708984375,0.05382740497589111,260,-0.0019914778851671143
1221,57344,420.8,420.8,28,46,0.2,0.0030335814,0.005355057942233543,-0.4441605635918677,0.0003,-0.004077482037246227,0.027001953125,-0.026285767555236816,270,-0.0009171208170300815
1205,59392,434.64,434.64,29,49,0.2,0.0018424195,0.003512056756471793,-0.4276028127409518,0.0003,0.009822188876569271,0.01123046875,0.03001868724822998,280,-0.00025492825225228446
1188,61440,447.05,447.05,30,51,0.2,0.0036742676,0.0025118856376593612,-0.4370282982476056,0.0003,0.031867772340774536,0.029541015625,-0.0006660223007202148,290,-0.0019252035810495727
1172,63488,460.47,460.47,31,54,0.2,0.0023942913,0.0016119317191055416,-0.46192426020279526,0.0003,-0.0005246626096777618,0.029931640625,-0.07334339618682861,300,-0.0009922632496454753
1156,65536,472.3,472.3,32,56,0.2,0.003319404,0.001152523893574653,-0.4614735499024391,0.0003,0.0025232487823814154,0.0501953125,0.05760014057159424,310,-0.0057143107529554985
1141,67584,479.38,479.38,33,59,0.2,0.0033099127,0.0007961062399658658,-0.45797943165525795,0.0003,-0.015996525064110756,0.057568359375,-0.02961266040802002,320,-0.0025533973035635426
1126,69632,487.44,487.44,34,61,0.2,0.005047568,0.0005394980920982561,-0.4568369715474546,0.0003,-0.0008202461176551878,0.022021484375,-0.06582129001617432,330,-0.00026230914372717964
1111,71680,493.65,493.65,35,64,0.2,0.0023678318,0.00039817970657054504,-0.42428353866562246,0.0003,-0.0025519556365907192,0.024169921875,0.012458205223083496,340,-0.0018998185085365548
1097,73728,495.11,495.11,36,67,0.2,0.00559142,0.0002702644773023621,-0.42917966227978466,0.0003,-0.010940944775938988,0.0705078125,0.03612256050109863,350,-0.0035852832457749172
1084,75776,497.49,497.49,37,69,0.2,0.012511204,0.00018992375235029612,-0.4396446006372571,0.0003,0.013875245116651058,0.148828125,0.009997189044952393,360,-0.004298834744258784
1070,77824,500.0,500.0,38,72,0.2,0.0064346027,0.00013127951780802504,-0.4230657362379134,0.0003,-0.013342116959393024,0.036962890625,0.019775331020355225,370,-0.0018396017447230406
1057,79872,500.0,500.0,39,75,0.2,0.0048522637,9.320647616846145e-05,-0.40480156810954215,0.0003,0.0005380522925406694,0.028125,-0.08185207843780518,380,-0.0010250991879729554
1044,81920,500.0,500.0,40,78,0.2,0.008884411,7.122895208055979e-05,-0.3972759936004877,0.0003,-0.018102480098605156,0.091064453125,-0.132301926612854,390,-0.00470116234573652
1031,83968,500.0,500.0,41,81,0.2,0.0025225724,5.2222465177464984e-05,-0.3956329542212188,0.0003,0.002909488044679165,0.043603515625,-0.04151296615600586,400,-0.0024566012842115017
1019,86016,500.0,500.0,42,84,0.2,0.0043747523,3.55688280620825e-05,-0.36938205286860465,0.0003,0.01817375421524048,0.034033203125,-0.14633166790008545,410,-0.002624567211023532
1007,88064,500.0,500.0,43,87,0.2,0.0049660173,2.3840224912419217e-05,-0.36650727968662977,0.0003,-0.003183921566233039,0.051953125,-0.20147192478179932,420,-0.0020160950181889346
996,90112,500.0,500.0,44,90,0.2,0.0025961106,2.2104721517735014e-05,-0.3464754638262093,0.0003,0.0030252132564783096,0.02060546875,-0.24621880054473877,430,-0.0013390690932283179
985,92160,500.0,500.0,45,93,0.2,0.0019238013,1.0258530556939149e-05,-0.3409949562512338,0.0003,-0.008446047082543373,0.02568359375,-0.22708547115325928,440,-0.0005213174415985122
974,94208,500.0,500.0,46,96,0.2,0.0040262025,8.53050890441409e-06,-0.3393338988535106,0.0003,-0.0020820782519876957,0.02744140625,-0.23130762577056885,450,-0.0018881456708186306
964,96256,500.0,500.0,47,99,0.2,0.0031105422,5.938187049991938e-06,-0.3154216084163636,0.0003,0.00044329388765618205,0.02734375,-0.560707688331604,460,-0.0015688870204030535
954,98304,500.0,500.0,48,103,0.2,0.0014387127,6.15558850540765e-06,-0.3208758900873363,0.0003,0.001526010106317699,0.0314453125,-0.5452430248260498,470,-3.5680251312442127e-05
943,100352,500.0,500.0,49,106,0.2,0.00082490715,4.434074620007778e-06,-0.31611030860804024,0.0003,-0.004848582204431295,0.028076171875,-0.6489599943161011,480,-0.00022609639054280706
932,102400,500.0,500.0,50,109,0.2,0.004324102,4.859548104718669e-06,-0.2910627521574497,0.0003,-0.013525380752980709,0.02236328125,-0.8038852214813232,490,-0.0015715673187514767
920,104448,500.0,500.0,51,113,0.2,0.005122772,3.1407477564471265e-06,-0.28937425022013485,0.0003,-0.0038612824864685535,0.03271484375,-0.9707667827606201,500,-0.000333408938604407
908,106496,500.0,500.0,52,117,0.2,0.002875493,6.4226418459156775e-06,-0.29266753513365984,0.0003,-0.015241706743836403,0.0142578125,-1.1511187553405762,510,-0.0010177905904129147
897,108544,500.0,500.0,53,120,0.2,0.0039802487,1.5509800135760087e-06,-0.28247814839705826,0.0003,-0.002636340446770191,0.036376953125,-1.405060052871704,520,-0.0015721035226306413
886,110592,500.0,500.0,54,124,0.2,0.0033522872,3.702473281919083e-06,-0.28323071892373264,0.0003,0.0005051552434451878,0.037890625,-1.9588899612426758,530,0.00023052361648296938
875,112640,500.0,500.0,55,128,0.2,0.0016412863,1.464681332663531e-06,-0.26863713120110333,0.0003,0.0008929474279284477,0.011279296875,-3.3494668006896973,540,-0.0007498944207327441
864,114688,500.0,500.0,56,132,0.2,0.002517159,1.7425749206267937e-06,-0.2627803192473948,0.0003,-0.0023703572805970907,0.018408203125,-2.617108106613159,550,-0.0008240752213168889
853,116736,500.0,500.0,57,136,0.2,0.003523226,2.781602029244823e-06,-0.2775299326982349,0.0003,-0.008754328824579716,0.045849609375,-3.995400905609131,560,-0.0017010615178151057
843,118784,500.0,500.0,58,140,0.2,0.0036534055,1.535452531413739e-05,-0.27163035566918553,0.0003,-0.010490769520401955,0.027392578125,-4.764060974121094,570,-0.001890613848809153
832,120832,500.0,500.0,59,145,0.2,0.0013508579,1.2210200310391884e-06,-0.25892397509887816,0.0003,0.00277087464928627,0.006201171875,-2.2041029930114746,580,-8.413621253566816e-05
823,122880,500.0,500.0,60,149,0.2,0.0006355719,1.2837171993851371e-06,-0.24032956627197563,0.0003,0.001792239723727107,0.010009765625,-2.5456113815307617,590,-0.00036629928872571326
814,124928,500.0,500.0,61,153,0.2,0.0018739561,1.5321713459570673e-05,-0.2420954022090882,0.0003,-0.0025105876848101616,0.023095703125,-2.5992043018341064,600,-0.001030470067053102
806,126976,500.0,500.0,62,157,0.2,0.0032237428,1.2563730194870003e-06,-0.2526464156806469,0.0003,-0.011666843667626381,0.02666015625,-1.8904428482055664,610,-0.0015388564715976827
797,129024,500.0,500.0,63,161,0.2,0.0030263555,8.800234610362167e-07,-0.25437294649891556,0.0003,-0.0007607027655467391,0.0203125,-4.1594953536987305,620,0.0005051616826676764
789,131072,500.0,500.0,64,165,0.2,0.001704232,2.111665363599968e-05,-0.2592425528448075,0.0003,0.0050451019778847694,0.0169921875,-4.9715094566345215,630,-0.0008036712832108605
781,133120,500.0,500.0,65,170,0.2,0.004079121,6.768264910306244e-07,-0.24503897940739988,0.0003,-0.0016280215932056308,0.03486328125,-2.7552123069763184,640,-0.0026642705721314996
774,135168,500.0,500.0,66,174,0.2,0.005445117,4.487363526095578e-07,-0.26240841173566876,0.0003,-0.01109947171062231,0.042041015625,-5.978084087371826,650,-0.0013765560957835986
766,137216,500.0,500.0,67,178,0.2,0.0069528967,1.5454792730906774e-06,-0.2574363050982356,0.0003,-0.0071706450544297695,0.0732421875,-2.7508628368377686,660,-0.004451123152102809
759,139264,500.0,500.0,68,183,0.2,0.0034143634,5.286572559271008e-07,-0.2565259973984212,0.0003,-0.008236592635512352,0.027294921875,-5.697333335876465,670,-0.000650508906255709
751,141312,500.0,500.0,69,187,0.2,0.002907765,6.892665737723292e-07,-0.2312038261909038,0.0003,-0.012615923769772053,0.018701171875,-2.3388943672180176,680,-0.002182094544696156
744,143360,500.0,500.0,70,192,0.2,0.0022898559,6.364086425492133e-06,-0.24259415632113815,0.0003,-0.0027207634411752224,0.0123046875,-2.3539767265319824,690,-0.0009137586952419951
738,145408,500.0,500.0,71,197,0.2,0.003073962,4.3224358705629127e-07,-0.2710283427499235,0.0003,-0.003962825518101454,0.04482421875,-4.524051189422607,700,-0.0013362697995034979
731,147456,500.0,500.0,72,201,0.2,0.0016381976,1.3401611300878358e-05,-0.26510254591703414,0.0003,-0.002434978960081935,0.01796875,-4.997756481170654,710,-0.0004215786786517128
724,149504,500.0,500.0,73,206,0.2,0.0027659177,1.0345663119437631e-05,-0.27158754603005947,0.0003,0.014825954101979733,0.022412109375,-5.402286529541016,720,-0.0003637059813627275
718,151552,500.0,500.0,74,210,0.2,0.003174299,3.60713499958365e-07,-0.24013368715532124,0.0003,-0.0067596472799777985,0.028759765625,-7.127089500427246,730,-0.0005228471214650199
711,153600,500.0,500.0,75,215,0.2,0.006643519,3.8605774648203807e-07,-0.28326195674017074,0.0003,0.018688179552555084,0.062353515625,-4.675753593444824,740,-0.0025491990309092216
705,155648,500.0,500.0,76,220,0.2,0.0020818887,5.307000634502401e-07,-0.2580148518551141,0.0003,-0.0030532144010066986,0.016357421875,-6.213968276977539,750,-0.0008632973447674885
699,157696,500.0,500.0,77,225,0.2,0.0038313072,6.70626751286818e-06,-0.25490785990841686,0.0003,-0.003862096229568124,0.035400390625,-8.533584594726562,760,-0.0008849121615639888
692,159744,500.0,500.0,78,230,0.2,0.0015823036,1.0499860556478779e-05,-0.25501757953315973,0.0003,-0.0023636973928660154,0.021240234375,-2.140049695968628,770,-0.0008147762375301682
686,161792,500.0,500.0,79,235,0.2,0.003932068,6.476511657638185e-07,-0.27252465593628583,0.0003,0.0018985125934705138,0.020458984375,-5.763467311859131,780,-0.000368069218529854
680,163840,500.0,500.0,80,240,0.2,0.0028068023,5.082192217287229e-07,-0.2554747400805354,0.0003,-0.015403426252305508,0.031201171875,-2.784287452697754,790,-0.0011941154400119558
675,165888,500.0,500.0,81,245,0.2,0.001004599,1.380608783279058e-05,-0.26305556651204826,0.0003,0.0003760530089493841,0.030908203125,-5.2497878074646,800,7.672993815504015e-05
669,167936,500.0,500.0,82,250,0.2,0.005726851,2.8513457550616295e-07,-0.2814030601643026,0.0003,0.0032451057340949774,0.045556640625,-8.098211288452148,810,-0.0030370294873137025
664,169984,500.0,500.0,83,255,0.2,0.0043216473,8.370162490223265e-06,-0.28141044890508055,0.0003,0.016151582822203636,0.06005859375,-2.5331714153289795,820,-0.0009090702355024405
658,172032,500.0,500.0,84,261,0.2,0.003224539,9.090872708839015e-07,-0.27850236580707133,0.0003,0.002419531112536788,0.02236328125,-2.8560688495635986,830,-0.0018623003517859616
653,174080,500.0,500.0,85,266,0.2,0.0015888854,3.933918407028614e-07,-0.26356911221519114,0.0003,0.008494439534842968,0.013037109375,-3.619251251220703,840,2.0799200137844308e-05
648,176128,500.0,500.0,86,271,0.2,0.0024777765,1.026077032406647e-06,-0.27126190033741293,0.0003,0.0015078794676810503,0.014501953125,-7.210020065307617,850,3.543142665876076e-05
643,178176,500.0,500.0,87,276,0.2,0.003563441,2.975434632901397e-05,-0.266210830071941,0.0003,0.00636038463562727,0.021826171875,-5.80961275100708,860,-0.0011086771031841637
638,180224,500.0,500.0,88,282,0.2,0.0029256376,3.359023338589395e-07,-0.26364056980237366,0.0003,-0.005747577641159296,0.03466796875,-5.303174018859863,870,-0.0025398453042726034
633,182272,500.0,500.0,89,287,0.2,0.0026119547,2.5023483090080846e-07,-0.25695398626849053,0.0003,-0.004675219766795635,0.0177734375,-10.14793872833252,880,-4.340187006164342e-05
